dstyle,ustyle,params,mse,mae,log_loss,accuracy,pred_ll
gbdt,gbdt,,0.2988391277700258,0.2988391277700258,0.5811911011008668,0.7011608722299743,
trade,power,[0.773 1.128 6.401 0.409 0.092 0.079],0.20190496991114282,0.40354561501741937,0.5914442332507337,0.6948593956535174,0.22894582479720477
hbmd,power,[6.751 0.149 0.182],0.20422218440915746,0.4093195495219132,0.5975926417188359,0.6943434513420367,0.22836003315232473
quasihb_fc,power,[0.996 0.997 0.904 0.009 0.007],0.20736041493587462,0.4150967369094144,0.6036421802923928,0.6888671309672854,0.2393522097903195
quasihb,power,[0.997 0.997 0.007 0.005],0.20739696238789768,0.4148310825710273,0.6037176896479058,0.6888671309672854,0.2393522097903195
expo2,power,[0.913 0.752 0.646 0.01  0.008],0.20738340055191512,0.4156680552373356,0.6037749580156662,0.6858053819979703,0.24435591643404955
attention_uni,power,[1.298 0.176 0.326],0.20883541342463974,0.41836961321469907,0.6071548986096195,0.6835271359370229,0.15251126635280943
hb2,power,[0.152 2.614 0.015 0.013],0.20941120231269217,0.41861324510203335,0.6085589803297207,0.6846106648776766,0.24907281239715676
hb,power,[0.012 0.027 0.024],0.20973726792309746,0.41990504111540494,0.6092314701313348,0.6832838164953016,0.25176694188134097
hce,power,[0.993 2.117 0.01  0.013],0.21000648510526645,0.4203378609921046,0.6096774951983588,0.6832838164953016,0.25176694188134097
expo,power,[0.993 0.015 0.013],0.21000650592074677,0.4203379597985264,0.6096775698076949,0.6832838164953016,0.25176694188134097
attention,power,[0.993 5.233 0.302 0.995],0.21316956764738526,0.4278228497919073,0.6179205018798183,0.6782369499812477,0.16436354611802056
trade,cara,[7.3200e-01 2.2000e+00 8.8333e+01 5.6340e+00 3.0000e-03 1.8400e-01],0.21604266772030378,0.43210308165224587,0.6232408985844538,0.6728781327228057,0.11671484608163211
attention,cara,[0.83  0.738 2.276 0.464],0.2276360720067218,0.45494694012743614,0.6473325722835449,0.6348279122221451,0.07288233803637807
attention_uni,cara,[0.793 2.886 0.395],0.22781126371715033,0.455305980192042,0.6477013955304114,0.6337791406003422,0.08184318698582431
hbmd,cara,[3.242 2.767 0.409],0.22784083997176965,0.4553666049361986,0.6477799525782487,0.6341312456292268,0.08058135814965518
expo2,cara,[0.316 0.47  0.413 2.767 0.484],0.22796964383683888,0.45568922753694235,0.6480170875619751,0.6322507121076263,0.0674941382185646
quasihb,cara,[0.928 0.78  2.753 0.486],0.22797625207205527,0.45567289955351126,0.648034265446423,0.6319759729144447,0.06751006093260568
quasihb_fc,cara,[0.928 0.78  1.44  2.753 0.486],0.22797625429282425,0.4556727098461823,0.6480342733072224,0.6319759729144447,0.06751006093260568
expo,cara,[0.725 2.516 0.544],0.22800541765736188,0.4557823699411241,0.6480816987827183,0.6325546385678416,0.04999754489321569
hce,cara,[ 0.725 95.419  2.54   0.545],0.22801076496745604,0.4557914853580062,0.648092519617536,0.6325546385678416,0.04999754489321569
hb2,cara,[0.077 4.897 2.676 0.503],0.22805811700664186,0.45581706850815173,0.648199983961445,0.6325165016446036,0.06295491259385454
hb,cara,[0.317 3.258 0.419],0.22819038511115672,0.45611461457960445,0.6484847608575723,0.6322827914453262,0.07348640026840639
